inchiKey,smiles,MolView_url,homo,lumo,verticalExcitationEnergy,redoxPotentialS0,redoxPotentialS1,redoxPotentialT1,dipoleMomentS0,dipoleMomentS1,dipoleMomentT1,zero0s1,zero0t1,ionizationPotential,source_directory
KZRFWYMADJUHCA-UHFFFAOYSA-N,N#Cc1c(cc(cc1C1=CC=C(S1(=O)=O)O)C#N)C1=CC=C(S1(=O)=O)O,http://molview.org/?q=N#Cc1c(cc(cc1C1=CC=C(S1(=O)=O)O)C#N)C1=CC=C(S1(=O)=O)O,-6.66,-3.47,2.97,-0.41,,-2.29,14.27,14.27,13.18,,1.88,8.2,/scratch/adrion.d/workflow/dicyanobenzene_2_5
KZTJCLUFCQOUOV-UHFFFAOYSA-N,n1cc([nH]c1)[C@@H]1N=N1,http://molview.org/?q=n1cc([nH]c1)[C@@H]1N=N1,-6.65,-2.25,3.42,1.74,-1.01,,2.51,2.51,4.62,2.75,,8.32,/scratch/abreha.b/diazirines
KZUSOYJKLMOYIU-UHFFFAOYSA-N,[O-][N+](=O)c1cnc(s1)[C@@]1(N=N1)[N+](=O)[O-],http://molview.org/?q=[O-][N+](=O)c1cnc(s1)[C@@]1(N=N1)[N+](=O)[O-],-8.24,-3.54,3.64,3.25,-0.22,0.95,3.03,3.03,6.01,3.47,2.3,9.91,/scratch/abreha.b/diazirines
KZXQANUVFJQDNS-FMQUCBEESA-N,Cc1coc(n1)c1ccc(s1)/N=N/c1ccc(s1)c1occ(n1)C,http://molview.org/?q=Cc1coc(n1)c1ccc(s1)/N=N/c1ccc(s1)c1occ(n1)C,-6.04,-3.2,2.88,1.09,,0.27,1.39,1.39,0.19,,0.82,6.73,/scratch/abreha.b/photoswitch_flows/thiophene_trans
KZXQANUVFJQDNS-VXPUYCOJSA-N,Cc1coc(n1)c1ccc(s1)/N=N\c1ccc(s1)c1occ(n1)C,http://molview.org/?q=Cc1coc(n1)c1ccc(s1)/N=N\c1ccc(s1)c1occ(n1)C,-6.03,-3.13,2.33,1.0,,,8.44,8.44,7.1,,,6.69,/scratch/mileson.b/thiophene_cis
LABPMIXCQUQHQC-UHFFFAOYSA-N,Oc1ccc([nH]1)c1cc2c3cc(c4ccc([nH]4)O)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc([nH]1)O)cc(c5ccc4)c1ccc([nH]1)O,http://molview.org/?q=Oc1ccc([nH]1)c1cc2c3cc(c4ccc([nH]4)O)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc([nH]1)O)cc(c5ccc4)c1ccc([nH]1)O,-4.93,-2.35,2.77,0.13,-1.65,,2.57,2.57,,1.78,,5.44,/scratch/abreha.b/dibenzoperylenes
LAIDIDGTYFIZQQ-UHFFFAOYSA-N,Clc1nnc(nn1)c1cc2c3cc(c4nnc(nn4)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1nnc(nn1)Cl)cc(c5ccc4)c1nnc(nn1)Cl,http://molview.org/?q=Clc1nnc(nn1)c1cc2c3cc(c4nnc(nn4)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1nnc(nn1)Cl)cc(c5ccc4)c1nnc(nn1)Cl,-5.97,-3.46,2.41,1.95,,,0.67,0.67,1.24,,,-0.01,/scratch/abreha.b/dibenzoperylenes
LAMVYJRTIVXOFS-DQRAZIAOSA-N,COc1ncc([nH]1)c1ccc(s1)/N=N\c1ccc(s1)c1cnc([nH]1)OC,http://molview.org/?q=COc1ncc([nH]1)c1ccc(s1)/N=N\c1ccc(s1)c1cnc([nH]1)OC,-5.49,-2.85,2.39,0.41,,0.28,2.17,2.17,3.11,,0.13,6.05,/scratch/mileson.b/thiophene_cis
LBAYJWTUTPFZBE-FXOCUQNHSA-N,FC(O/N=C\c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=N/OC(F)(F)F)(F)F,http://molview.org/?q=FC(O/N=C\c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=N/OC(F)(F)F)(F)F,-7.88,-3.52,2.74,2.91,-0.14,0.46,0.71,0.71,3.25,3.05,2.45,9.06,/scratch/adrion.d/workflow/anthracene
LBOQKUCTWQDYDC-UHFFFAOYSA-N,COc1ccc(nc1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc(cn1)OC,http://molview.org/?q=COc1ccc(nc1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc(cn1)OC,-6.6,-3.11,2.51,1.71,-0.78,,7.35,7.35,18.47,2.49,,7.36,/scratch/adrion.d/workflow/anthracene
